"date","caseIncreaseAverage"
"2021-02-09","107612.42857142857"
"2021-02-08","111131"
"2021-02-07","117197.14285714286"
"2021-02-06","120536.14285714286"
"2021-02-05","125431.42857142857"
"2021-02-04","130569.28571428571"
"2021-02-03","135340.57142857142"
"2021-02-02","140629.85714285713"
"2021-02-01","144748.7142857143"
"2021-01-31","146642.14285714287"
"2021-01-30","150194.57142857142"
"2021-01-29","154236.57142857142"
"2021-01-28","157637.14285714287"
"2021-01-27","161775.57142857142"
"2021-01-26","166806.7142857143"
"2021-01-25","166832.14285714287"
"2021-01-24","169309"
"2021-01-23","175449.57142857142"
"2021-01-22","181302"
"2021-01-21","189236.14285714287"
"2021-01-20","194856.2857142857"
"2021-01-19","199897.42857142858"
"2021-01-18","210096.57142857142"
"2021-01-17","216448.42857142858"
"2021-01-16","222379"
"2021-01-15","229705.14285714287"
"2021-01-14","236657.57142857142"
"2021-01-13","243290"
"2021-01-12","246960.42857142858"
"2021-01-11","247111.14285714287"
"2021-01-10","244870.57142857142"
